program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,incorrect_length,correct_len_incorrect_seq,perfectly_reconstructed,dropped_reads_percentage,incorrect_length_percentage,correct_len_incorrect_seq_percentage,perfectly_reconstructed_percentage,divergent_reads,
leeHom,gen_n1000000_l202_merged.fq.gz,1000000,202,999919,999746,173,1388,211514,786844,0.017,0.139,21.151,78.684,212902,
leeHom,gen_n1000000_l203_merged.fq.gz,1000000,203,999910,999768,142,1489,214305,783974,0.014,0.149,21.43,78.397,215794,
leeHom,gen_n1000000_l204_merged.fq.gz,1000000,204,999907,999713,194,1567,217063,781083,0.019,0.157,21.706,78.108,218630,
leeHom,gen_n1000000_l205_merged.fq.gz,1000000,205,999929,999660,269,1590,220136,777934,0.027,0.159,22.014,77.793,221726,
leeHom,gen_n1000000_l206_merged.fq.gz,1000000,206,999928,999638,290,1552,221965,776121,0.029,0.155,22.197,77.612,223517,
leeHom,gen_n1000000_l207_merged.fq.gz,1000000,207,999924,999636,288,1686,224604,773346,0.029,0.169,22.46,77.335,226290,
leeHom,gen_n1000000_l208_merged.fq.gz,1000000,208,999926,999609,317,1697,228126,769786,0.032,0.17,22.813,76.979,229823,
leeHom,gen_n1000000_l209_merged.fq.gz,1000000,209,999910,999578,332,1849,231122,766607,0.033,0.185,23.112,76.661,232971,
leeHom,gen_n1000000_l20_merged.fq.gz,1000000,20,999917,1000000,-83,0,4426,995574,-0.008,0.0,0.443,99.557,4426,
leeHom,gen_n1000000_l210_merged.fq.gz,1000000,210,999916,999522,394,2019,233220,764283,0.039,0.202,23.322,76.428,235239,
leeHom,gen_n1000000_l211_merged.fq.gz,1000000,211,999931,999489,442,1956,236700,760833,0.044,0.196,23.67,76.083,238656,
leeHom,gen_n1000000_l212_merged.fq.gz,1000000,212,999910,999445,465,1922,239250,758273,0.046,0.192,23.925,75.827,241172,
leeHom,gen_n1000000_l213_merged.fq.gz,1000000,213,999900,999450,450,2059,241098,756293,0.045,0.206,24.11,75.629,243157,
leeHom,gen_n1000000_l214_merged.fq.gz,1000000,214,999937,999365,572,2168,244582,752615,0.057,0.217,24.458,75.261,246750,
leeHom,gen_n1000000_l215_merged.fq.gz,1000000,215,999920,999316,604,2213,247711,749392,0.06,0.221,24.771,74.939,249924,
leeHom,gen_n1000000_l216_merged.fq.gz,1000000,216,999907,999282,625,2266,249716,747300,0.062,0.227,24.972,74.73,251982,
leeHom,gen_n1000000_l217_merged.fq.gz,1000000,217,999922,999144,778,2404,253582,743158,0.078,0.24,25.358,74.316,255986,
leeHom,gen_n1000000_l218_merged.fq.gz,1000000,218,999919,999150,769,2364,256908,739878,0.077,0.236,25.691,73.988,259272,
leeHom,gen_n1000000_l219_merged.fq.gz,1000000,219,999918,999032,886,2539,258967,737526,0.089,0.254,25.897,73.753,261506,
leeHom,gen_n1000000_l21_merged.fq.gz,1000000,21,999934,1000000,-66,0,4559,995441,-0.007,0.0,0.456,99.544,4559,
leeHom,gen_n1000000_l220_merged.fq.gz,1000000,220,999916,999021,895,2737,261732,734552,0.089,0.274,26.173,73.455,264469,
leeHom,gen_n1000000_l221_merged.fq.gz,1000000,221,999924,998874,1050,2732,265223,730919,0.105,0.273,26.522,73.092,267955,
leeHom,gen_n1000000_l222_merged.fq.gz,1000000,222,999924,998768,1156,2909,268249,727610,0.116,0.291,26.825,72.761,271158,
leeHom,gen_n1000000_l223_merged.fq.gz,1000000,223,999932,998632,1300,3069,271682,723881,0.13,0.307,27.168,72.388,274751,
leeHom,gen_n1000000_l224_merged.fq.gz,1000000,224,999922,998591,1331,3032,273479,722080,0.133,0.303,27.348,72.208,276511,
