program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,incorrect_length,correct_len_incorrect_seq,perfectly_reconstructed,dropped_reads_percentage,incorrect_length_percentage,correct_len_incorrect_seq_percentage,perfectly_reconstructed_percentage,divergent_reads,
AdapterRemoval,gen_n1000000_l218_merged.fq,1000000,218,999919,997793,2126,27484,250050,720259,0.213,2.748,25.005,72.026,277534,
AdapterRemoval,gen_n1000000_l219_merged.fq,1000000,219,999918,997655,2263,28116,252000,717539,0.226,2.812,25.2,71.754,280116,
AdapterRemoval,gen_n1000000_l21_merged.fq,1000000,21,999934,1000000,-66,0,4594,995406,-0.007,0.0,0.459,99.541,4594,
AdapterRemoval,gen_n1000000_l220_merged.fq,1000000,220,999916,997395,2521,28464,254586,714345,0.252,2.846,25.459,71.434,283050,
AdapterRemoval,gen_n1000000_l221_merged.fq,1000000,221,999924,996925,2999,28903,257909,710113,0.3,2.89,25.791,71.011,286812,
AdapterRemoval,gen_n1000000_l222_merged.fq,1000000,222,999924,996673,3251,29288,260685,706700,0.325,2.929,26.069,70.67,289973,
AdapterRemoval,gen_n1000000_l223_merged.fq,1000000,223,999932,996421,3511,29553,264009,702859,0.351,2.955,26.401,70.286,293562,
AdapterRemoval,gen_n1000000_l224_merged.fq,1000000,224,999922,996005,3917,29805,265334,700866,0.392,2.981,26.533,70.087,295139,
AdapterRemoval,gen_n1000000_l225_merged.fq,1000000,225,999911,995956,3955,30536,269521,695899,0.396,3.054,26.952,69.59,300057,
AdapterRemoval,gen_n1000000_l226_merged.fq,1000000,226,999920,995491,4429,31007,271817,692667,0.443,3.101,27.182,69.267,302824,
AdapterRemoval,gen_n1000000_l227_merged.fq,1000000,227,999921,995341,4580,31564,273911,689866,0.458,3.156,27.391,68.987,305475,
AdapterRemoval,gen_n1000000_l228_merged.fq,1000000,228,999925,994966,4959,32031,278380,684555,0.496,3.203,27.838,68.456,310411,
AdapterRemoval,gen_n1000000_l229_merged.fq,1000000,229,999915,994409,5506,32115,280116,682178,0.551,3.211,28.012,68.218,312231,
AdapterRemoval,gen_n1000000_l22_merged.fq,1000000,22,999918,1000000,-82,0,4752,995248,-0.008,0.0,0.475,99.525,4752,
AdapterRemoval,gen_n1000000_l230_merged.fq,1000000,230,999909,994218,5691,32649,282614,678955,0.569,3.265,28.261,67.895,315263,
AdapterRemoval,gen_n1000000_l231_merged.fq,1000000,231,999908,993976,5932,33141,286419,674416,0.593,3.314,28.642,67.442,319560,
AdapterRemoval,gen_n1000000_l232_merged.fq,1000000,232,999927,993494,6433,34102,288554,670838,0.643,3.41,28.855,67.084,322656,
AdapterRemoval,gen_n1000000_l233_merged.fq,1000000,233,999907,993232,6675,34631,291158,667443,0.667,3.463,29.116,66.744,325789,
AdapterRemoval,gen_n1000000_l234_merged.fq,1000000,234,999922,992652,7270,34907,294805,662940,0.727,3.491,29.48,66.294,329712,
