program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,incorrect_length,correct_len_incorrect_seq,perfectly_reconstructed,dropped_reads_percentage,incorrect_length_percentage,correct_len_incorrect_seq_percentage,perfectly_reconstructed_percentage,divergent_reads,
fastp,gen_n1000000_l182_merged.fq,1000000,182,999910,1000000,-90,4310,215190,780500,-0.009,0.431,21.519,78.05,219500,
fastp,gen_n1000000_l183_merged.fq,1000000,183,999924,1000000,-76,4285,216451,779264,-0.008,0.428,21.645,77.926,220736,
fastp,gen_n1000000_l184_merged.fq,1000000,184,999926,1000000,-74,4417,218527,777056,-0.007,0.442,21.853,77.706,222944,
fastp,gen_n1000000_l185_merged.fq,1000000,185,999927,1000000,-73,4483,219879,775638,-0.007,0.448,21.988,77.564,224362,
fastp,gen_n1000000_l186_merged.fq,1000000,186,999915,1000000,-85,4576,221750,773674,-0.009,0.458,22.175,77.367,226326,
fastp,gen_n1000000_l187_merged.fq,1000000,187,999925,1000000,-75,4496,223448,772056,-0.007,0.45,22.345,77.206,227944,
fastp,gen_n1000000_l188_merged.fq,1000000,188,999917,1000000,-83,4533,224238,771229,-0.008,0.453,22.424,77.123,228771,
fastp,gen_n1000000_l189_merged.fq,1000000,189,999930,1000000,-70,4757,225448,769795,-0.007,0.476,22.545,76.98,230205,
fastp,gen_n1000000_l18_merged.fq,1000000,18,999914,1000000,-86,2611,16705,980684,-0.009,0.261,1.671,98.068,19316,
fastp,gen_n1000000_l190_merged.fq,1000000,190,999924,1000000,-76,4875,227750,767375,-0.008,0.487,22.775,76.737,232625,
fastp,gen_n1000000_l191_merged.fq,1000000,191,999921,1000000,-79,4924,229144,765932,-0.008,0.492,22.914,76.593,234068,
fastp,gen_n1000000_l192_merged.fq,1000000,192,999907,1000000,-93,4914,231491,763595,-0.009,0.491,23.149,76.359,236405,
fastp,gen_n1000000_l193_merged.fq,1000000,193,999920,1000000,-80,4866,232490,762644,-0.008,0.487,23.249,76.264,237356,
fastp,gen_n1000000_l194_merged.fq,1000000,194,999925,1000000,-75,4990,233490,761520,-0.007,0.499,23.349,76.152,238480,
fastp,gen_n1000000_l195_merged.fq,1000000,195,999921,1000000,-79,5083,235772,759145,-0.008,0.508,23.577,75.914,240855,
fastp,gen_n1000000_l196_merged.fq,1000000,196,999940,1000000,-60,5059,237372,757569,-0.006,0.506,23.737,75.757,242431,
fastp,gen_n1000000_l197_merged.fq,1000000,197,999919,1000000,-81,5115,239785,755100,-0.008,0.511,23.979,75.51,244900,
fastp,gen_n1000000_l198_merged.fq,1000000,198,999913,1000000,-87,5216,240927,753857,-0.009,0.522,24.093,75.386,246143,
fastp,gen_n1000000_l199_merged.fq,1000000,199,999921,1000000,-79,4946,243433,751621,-0.008,0.495,24.343,75.162,248379,
fastp,gen_n1000000_l19_merged.fq,1000000,19,999898,1000000,-102,2590,17755,979655,-0.01,0.259,1.776,97.966,20345,
fastp,gen_n1000000_l1_merged.fq,1000000,1,999924,0,999924,0,0,0,99.992,0.0,0.0,0.0,0,
fastp,gen_n1000000_l200_merged.fq,1000000,200,999912,1000000,-88,5163,244763,750074,-0.009,0.516,24.476,75.007,249926,
fastp,gen_n1000000_l201_merged.fq,1000000,201,999934,1000000,-66,5171,246227,748602,-0.007,0.517,24.623,74.86,251398,
fastp,gen_n1000000_l202_merged.fq,1000000,202,999919,1000000,-81,5184,248520,746296,-0.008,0.518,24.852,74.63,253704,
fastp,gen_n1000000_l203_merged.fq,1000000,203,999910,1000000,-90,5255,250602,744143,-0.009,0.525,25.06,74.414,255857,
fastp,gen_n1000000_l204_merged.fq,1000000,204,999907,1000000,-93,5284,252225,742491,-0.009,0.528,25.222,74.249,257509,
fastp,gen_n1000000_l205_merged.fq,1000000,205,999929,1000000,-71,5440,254460,740100,-0.007,0.544,25.446,74.01,259900,
fastp,gen_n1000000_l206_merged.fq,1000000,206,999928,1000000,-72,5475,254965,739560,-0.007,0.547,25.497,73.956,260440,
fastp,gen_n1000000_l207_merged.fq,1000000,207,999924,1000000,-76,5619,257238,737143,-0.008,0.562,25.724,73.714,262857,
fastp,gen_n1000000_l208_merged.fq,1000000,208,999926,1000000,-74,5700,259573,734727,-0.007,0.57,25.957,73.473,265273,
fastp,gen_n1000000_l209_merged.fq,1000000,209,999910,1000000,-90,5946,261825,732229,-0.009,0.595,26.182,73.223,267771,
fastp,gen_n1000000_l20_merged.fq,1000000,20,999917,1000000,-83,2248,18697,979055,-0.008,0.225,1.87,97.906,20945,
fastp,gen_n1000000_l210_merged.fq,1000000,210,999916,1000000,-84,6430,262944,730626,-0.008,0.643,26.294,73.063,269374,
fastp,gen_n1000000_l211_merged.fq,1000000,211,999931,1000000,-69,6421,265633,727946,-0.007,0.642,26.563,72.795,272054,
fastp,gen_n1000000_l212_merged.fq,1000000,212,999910,1000000,-90,6626,267147,726227,-0.009,0.663,26.715,72.623,273773,
fastp,gen_n1000000_l213_merged.fq,1000000,213,999900,1000000,-100,6756,268147,725097,-0.01,0.676,26.815,72.51,274903,
fastp,gen_n1000000_l214_merged.fq,1000000,214,999937,1000000,-63,7008,271163,721829,-0.006,0.701,27.116,72.183,278171,
fastp,gen_n1000000_l215_merged.fq,1000000,215,999920,1000000,-80,7299,272462,720239,-0.008,0.73,27.246,72.024,279761,
fastp,gen_n1000000_l216_merged.fq,1000000,216,999907,1000000,-93,7512,273716,718772,-0.009,0.751,27.372,71.877,281228,
fastp,gen_n1000000_l217_merged.fq,1000000,217,999922,1000000,-78,7973,276896,715131,-0.008,0.797,27.69,71.513,284869,
fastp,gen_n1000000_l218_merged.fq,1000000,218,999919,1000000,-81,8165,279108,712727,-0.008,0.817,27.911,71.273,287273,
fastp,gen_n1000000_l219_merged.fq,1000000,219,999918,1000000,-82,8531,280498,710971,-0.008,0.853,28.05,71.097,289029,
fastp,gen_n1000000_l21_merged.fq,1000000,21,999934,1000000,-66,2125,19580,978295,-0.007,0.213,1.958,97.829,21705,
