program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,incorrect_length,correct_len_incorrect_seq,perfectly_reconstructed,dropped_reads_percentage,incorrect_length_percentage,correct_len_incorrect_seq_percentage,perfectly_reconstructed_percentage,divergent_reads,
ClipAndMerge,gen_n1000000_l213_merged.fq,1000000,213,999900,731512,268388,3588,176072,551852,26.839,0.359,17.607,55.185,179660,
ClipAndMerge,gen_n1000000_l214_merged.fq,1000000,214,999937,729639,270298,3606,177835,548198,27.03,0.361,17.784,54.82,181441,
ClipAndMerge,gen_n1000000_l215_merged.fq,1000000,215,999920,727060,272860,3920,179647,543493,27.286,0.392,17.965,54.349,183567,
ClipAndMerge,gen_n1000000_l216_merged.fq,1000000,216,999907,725836,274071,3764,180692,541380,27.407,0.376,18.069,54.138,184456,
ClipAndMerge,gen_n1000000_l217_merged.fq,1000000,217,999922,723934,275988,3689,183140,537105,27.599,0.369,18.314,53.711,186829,
ClipAndMerge,gen_n1000000_l218_merged.fq,1000000,218,999919,722905,277014,3660,185391,533854,27.701,0.366,18.539,53.385,189051,
ClipAndMerge,gen_n1000000_l219_merged.fq,1000000,219,999918,721259,278659,3809,185963,531487,27.866,0.381,18.596,53.149,189772,
ClipAndMerge,gen_n1000000_l21_merged.fq,1000000,21,999934,998565,1369,2,4335,994228,0.137,0.0,0.434,99.423,4337,
ClipAndMerge,gen_n1000000_l220_merged.fq,1000000,220,999916,718385,281531,4302,187105,526978,28.153,0.43,18.71,52.698,191407,
ClipAndMerge,gen_n1000000_l221_merged.fq,1000000,221,999924,717789,282135,4150,189648,523991,28.214,0.415,18.965,52.399,193798,
ClipAndMerge,gen_n1000000_l222_merged.fq,1000000,222,999924,715249,284675,4196,191204,519849,28.468,0.42,19.12,51.985,195400,
ClipAndMerge,gen_n1000000_l223_merged.fq,1000000,223,999932,714474,285458,4111,193288,517075,28.546,0.411,19.329,51.707,197399,
ClipAndMerge,gen_n1000000_l224_merged.fq,1000000,224,999922,711419,288503,4093,193788,513538,28.85,0.409,19.379,51.354,197881,
ClipAndMerge,gen_n1000000_l225_merged.fq,1000000,225,999911,711929,287982,4595,197091,510243,28.798,0.46,19.709,51.024,201686,
ClipAndMerge,gen_n1000000_l226_merged.fq,1000000,226,999920,710155,289765,4574,198268,507313,28.976,0.457,19.827,50.731,202842,
ClipAndMerge,gen_n1000000_l227_merged.fq,1000000,227,999921,708353,291568,4607,199595,504151,29.157,0.461,19.959,50.415,204202,
ClipAndMerge,gen_n1000000_l228_merged.fq,1000000,228,999925,707740,292185,4663,202867,500210,29.218,0.466,20.287,50.021,207530,
ClipAndMerge,gen_n1000000_l229_merged.fq,1000000,229,999915,704741,295174,4852,203413,496476,29.517,0.485,20.341,49.648,208265,
ClipAndMerge,gen_n1000000_l22_merged.fq,1000000,22,999918,998494,1424,4,4514,993976,0.142,0.0,0.451,99.398,4518,
ClipAndMerge,gen_n1000000_l230_merged.fq,1000000,230,999909,702997,296912,5214,204487,493296,29.691,0.521,20.449,49.33,209701,
