program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,avg_divergence_per_nt,edit_distances
bbmerge,gen_n1000000_l190_merged.fq,1000000,190,999921,968842,31158,0.107,0:789881 1:161454 2:16351 3:1074 4:77 5:5
bbmerge,gen_n1000000_l191_merged.fq,1000000,191,999912,966761,33239,0.108,0:786064 1:162644 2:16904 3:1094 4:54 5:1
bbmerge,gen_n1000000_l192_merged.fq,1000000,192,999918,966172,33828,0.109,0:783251 1:164678 2:16987 3:1178 4:78
bbmerge,gen_n1000000_l193_merged.fq,1000000,193,999912,966159,33841,0.11,0:781336 1:165904 2:17526 3:1331 4:58 5:4
bbmerge,gen_n1000000_l194_merged.fq,1000000,194,999921,965374,34626,0.111,0:777537 1:168548 2:17982 3:1240 4:67
bbmerge,gen_n1000000_l195_merged.fq,1000000,195,999926,965565,34435,0.112,0:776484 1:169315 2:18357 3:1344 4:62 5:2 6:1
bbmerge,gen_n1000000_l196_merged.fq,1000000,196,999915,964930,35070,0.113,0:773213 1:171449 2:18828 3:1355 4:82 5:3
bbmerge,gen_n1000000_l197_merged.fq,1000000,197,999922,964679,35321,0.114,0:770636 1:173371 2:19193 3:1404 4:72 5:3
bbmerge,gen_n1000000_l198_merged.fq,1000000,198,999926,963499,36501,0.115,0:767305 1:174743 2:19885 3:1480 4:79 5:6 6:1
bbmerge,gen_n1000000_l199_merged.fq,1000000,199,999916,962827,37173,0.116,0:764239 1:176865 2:20107 3:1515 4:97 5:4
bbmerge,gen_n1000000_l19_merged.fq,1000000,19,999914,928628,71372,0.001,0:928402 1:226
bbmerge,gen_n1000000_l1_merged.fq,1000000,1,999924,2,999998,23950.0,239:1 240:1
bbmerge,gen_n1000000_l200_merged.fq,1000000,200,999929,963352,36648,0.117,0:762415 1:178315 2:20926 3:1577 4:114 5:5
bbmerge,gen_n1000000_l201_merged.fq,1000000,201,999930,961859,38141,0.118,0:759106 1:179949 2:21064 3:1623 4:112 5:5
bbmerge,gen_n1000000_l202_merged.fq,1000000,202,999926,960136,39864,0.119,0:754985 1:181356 2:21996 3:1699 4:91 5:9
bbmerge,gen_n1000000_l203_merged.fq,1000000,203,999899,960905,39095,0.12,0:752890 1:184132 2:22018 3:1740 4:118 5:7
bbmerge,gen_n1000000_l204_merged.fq,1000000,204,999922,959675,40325,0.121,0:749719 1:185656 2:22363 3:1828 4:105 5:4
bbmerge,gen_n1000000_l205_merged.fq,1000000,205,999928,960456,39544,0.122,0:747892 1:187393 2:23022 3:2022 4:118 5:9
bbmerge,gen_n1000000_l206_merged.fq,1000000,206,999916,955556,44444,0.123,0:741870 1:187927 2:23645 3:1976 4:131 5:7
bbmerge,gen_n1000000_l207_merged.fq,1000000,207,999919,954360,45640,0.124,0:738086 1:190007 2:24123 3:2016 4:124 5:4
bbmerge,gen_n1000000_l208_merged.fq,1000000,208,999930,952997,47003,0.125,0:734604 1:191207 2:24987 3:2063 4:131 5:5
bbmerge,gen_n1000000_l209_merged.fq,1000000,209,999908,952311,47689,0.126,0:731960 1:192912 2:25144 3:2147 4:141 5:7
bbmerge,gen_n1000000_l20_merged.fq,1000000,20,999932,927596,72404,0.002,0:927271 1:325
bbmerge,gen_n1000000_l210_merged.fq,1000000,210,999925,953266,46734,0.127,0:729180 1:195590 2:26031 3:2305 4:155 5:5
bbmerge,gen_n1000000_l211_merged.fq,1000000,211,999920,950897,49103,0.128,0:724777 1:197200 2:26370 3:2380 4:155 5:15
