program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,incorrect_length_reads,divergent_reads,average_divergence,dropped_reads_percentage,incorrect_length_percentage,divergent_reads_percentage,average_divergence_percentage,perfectly_reconstructed,perfectly_reconstructed_percentage
AdapterRemoval,gen_n1000000_l63_ar2.collapsed.gz,1000000,63,1000000,1000000,0,0,13212,0.013312,0.0,0.0,1.321,0.021,986788,98.679
AdapterRemoval,gen_n1000000_l64_ar2.collapsed.gz,1000000,64,1000000,1000000,0,0,13514,0.013594,0.0,0.0,1.351,0.021,986486,98.649
AdapterRemoval,gen_n1000000_l65_ar2.collapsed.gz,1000000,65,1000000,1000000,0,0,13635,0.01374,0.0,0.0,1.363,0.021,986365,98.636
AdapterRemoval,gen_n1000000_l66_ar2.collapsed.gz,1000000,66,1000000,1000000,0,0,13917,0.014014,0.0,0.0,1.392,0.021,986083,98.608
AdapterRemoval,gen_n1000000_l67_ar2.collapsed.gz,1000000,67,1000000,1000000,0,0,14121,0.014218,0.0,0.0,1.412,0.021,985879,98.588
AdapterRemoval,gen_n1000000_l68_ar2.collapsed.gz,1000000,68,1000000,1000000,0,0,14428,0.014521,0.0,0.0,1.443,0.021,985572,98.557
AdapterRemoval,gen_n1000000_l69_ar2.collapsed.gz,1000000,69,1000000,1000000,0,0,14447,0.014549,0.0,0.0,1.445,0.021,985553,98.555
AdapterRemoval,gen_n1000000_l6_ar2.collapsed.gz,1000000,6,1000000,1000000,0,0,2350,0.002351,0.0,0.0,0.235,0.039,997650,99.765
AdapterRemoval,gen_n1000000_l70_ar2.collapsed.gz,1000000,70,1000000,1000000,0,0,14795,0.014905,0.0,0.0,1.48,0.021,985205,98.52
AdapterRemoval,gen_n1000000_l71_ar2.collapsed.gz,1000000,71,1000000,1000000,0,0,14966,0.015078,0.0,0.0,1.497,0.021,985034,98.503
AdapterRemoval,gen_n1000000_l72_ar2.collapsed.gz,1000000,72,1000000,1000000,0,0,15269,0.015397,0.0,0.0,1.527,0.021,984731,98.473
AdapterRemoval,gen_n1000000_l73_ar2.collapsed.gz,1000000,73,1000000,1000000,0,0,15422,0.015519,0.0,0.0,1.542,0.021,984578,98.458
AdapterRemoval,gen_n1000000_l74_ar2.collapsed.gz,1000000,74,1000000,1000000,0,0,15658,0.015782,0.0,0.0,1.566,0.021,984342,98.434
