program,type,qs1,qs2,new_nt,new_qs
AdapterRemoval,match,11,16,s1,31
AdapterRemoval,match,11,17,s1,32
AdapterRemoval,match,11,18,s1,33
AdapterRemoval,match,11,19,s1,34
AdapterRemoval,match,11,20,s1,35
AdapterRemoval,match,11,21,s1,36
AdapterRemoval,match,11,22,s1,37
AdapterRemoval,match,11,23,s1,38
AdapterRemoval,match,11,24,s1,39
AdapterRemoval,match,11,25,s1,40
AdapterRemoval,match,11,26,s1,41
AdapterRemoval,match,11,27,s1,42
AdapterRemoval,match,11,28,s1,43
AdapterRemoval,match,11,29,s1,44
AdapterRemoval,match,11,30,s1,45
AdapterRemoval,match,11,31,s1,46
AdapterRemoval,match,11,32,s1,47
AdapterRemoval,match,11,33,s1,48
AdapterRemoval,match,11,34,s1,49
AdapterRemoval,match,11,35,s1,50
AdapterRemoval,match,11,36,s1,51
AdapterRemoval,match,11,37,s1,52
AdapterRemoval,match,11,38,s1,53
AdapterRemoval,match,11,39,s1,54
AdapterRemoval,match,11,40,s1,55
AdapterRemoval,match,11,41,s1,56
AdapterRemoval,match,12,0,s1,12
AdapterRemoval,match,12,1,s1,12
AdapterRemoval,match,12,2,s1,14
AdapterRemoval,match,12,3,s1,16
AdapterRemoval,match,12,4,s1,18
AdapterRemoval,match,12,5,s1,19
AdapterRemoval,match,12,6,s1,21
AdapterRemoval,match,12,7,s1,22
AdapterRemoval,match,12,8,s1,23
AdapterRemoval,match,12,9,s1,24
AdapterRemoval,match,12,10,s1,26
AdapterRemoval,match,12,11,s1,27
AdapterRemoval,match,12,12,s1,28
AdapterRemoval,match,12,13,s1,29
AdapterRemoval,match,12,14,s1,30
AdapterRemoval,match,12,15,s1,31
AdapterRemoval,match,12,16,s1,32
AdapterRemoval,match,12,17,s1,33
AdapterRemoval,match,12,18,s1,34
AdapterRemoval,match,12,19,s1,35
AdapterRemoval,match,12,20,s1,36
AdapterRemoval,match,12,21,s1,37
AdapterRemoval,match,12,22,s1,38
AdapterRemoval,match,12,23,s1,39
AdapterRemoval,match,12,24,s1,40
AdapterRemoval,match,12,25,s1,41
